example_id,term_id,example_en,example_jp,difficulty_tag
EX0001,TERM0001,The candidate should be able to describe the concept of Code of Ethics in the context of the effect on ROE.,受験者は、the effect on ROEの文脈で「倫理規範」の概念をdescribeできる必要がある。,Medium
EX0002,TERM0002,The candidate should be able to describe the concept of Standards of Professional Conduct in the context of the effect on ROE.,受験者は、the effect on ROEの文脈で「職業行為基準」の概念をdescribeできる必要がある。,Medium
EX0003,TERM0003,The candidate should be able to estimate the concept of Material Nonpublic Information in the context of the required return.,受験者は、the required returnの文脈で「重要な未公開情報」の概念をestimateできる必要がある。,Medium
EX0004,TERM0004,The candidate should be able to estimate the concept of Mosaic Theory in the context of the credit spread.,受験者は、the credit spreadの文脈で「モザイク理論」の概念をestimateできる必要がある。,Medium
EX0005,TERM0005,The candidate should be able to compare the concept of Fiduciary Duty in the context of the going concern assumption.,受験者は、the going concern assumptionの文脈で「受託者責任」の概念をcompareできる必要がある。,Medium
EX0006,TERM0006,The candidate should be able to interpret the concept of Global Investment Performance Standards in the context of the going concern assumption.,受験者は、the going concern assumptionの文脈で「グローバル投資パフォーマンス基準」の概念をinterpretできる必要がある。,Medium
EX0007,TERM0007,The candidate should be able to analyze the concept of Soft Dollar in the context of the impact on the IPS.,受験者は、the impact on the IPSの文脈で「ソフトダラー」の概念をanalyzeできる必要がある。,Medium
EX0008,TERM0008,The candidate should be able to analyze the concept of Fair Dealing in the context of the impact on the IPS.,受験者は、the impact on the IPSの文脈で「公正な取扱い」の概念をanalyzeできる必要がある。,Medium
EX0009,TERM0009,The candidate should be able to calculate the concept of Suitability in the context of the credit spread.,受験者は、the credit spreadの文脈で「適合性」の概念をcalculateできる必要がある。,Medium
EX0010,TERM0010,The candidate should be able to analyze the concept of Investment Policy Statement in the context of the effect on ROE.,受験者は、the effect on ROEの文脈で「投資方針書」の概念をanalyzeできる必要がある。,Medium
EX0011,TERM0011,The candidate should be able to calculate the concept of Time Value of Money in the context of the going concern assumption.,受験者は、the going concern assumptionの文脈で「貨幣の時間価値」の概念をcalculateできる必要がある。,Medium
EX0012,TERM0012,The candidate should be able to interpret the concept of Present Value in the context of the required return.,受験者は、the required returnの文脈で「現在価値」の概念をinterpretできる必要がある。,Medium
EX0013,TERM0013,The candidate should be able to assume the concept of Future Value in the context of the going concern assumption.,受験者は、the going concern assumptionの文脈で「将来価値」の概念をassumeできる必要がある。,Medium
EX0014,TERM0014,The candidate should be able to compare the concept of Discount Rate in the context of the effect on ROE.,受験者は、the effect on ROEの文脈で「割引率」の概念をcompareできる必要がある。,Medium
EX0015,TERM0015,The candidate should be able to interpret the concept of Net Present Value in the context of the going concern assumption.,受験者は、the going concern assumptionの文脈で「正味現在価値」の概念をinterpretできる必要がある。,Medium
EX0016,TERM0016,The candidate should be able to describe the concept of Internal Rate of Return in the context of the required return.,受験者は、the required returnの文脈で「内部収益率」の概念をdescribeできる必要がある。,Medium
EX0017,TERM0017,The candidate should be able to assume the concept of Effective Annual Rate in the context of the impact on the IPS.,受験者は、the impact on the IPSの文脈で「実効年利率」の概念をassumeできる必要がある。,Medium
EX0018,TERM0018,The candidate should be able to describe the concept of Annuity in the context of the effect on ROE.,受験者は、the effect on ROEの文脈で「年金」の概念をdescribeできる必要がある。,Medium
EX0019,TERM0019,The candidate should be able to calculate the concept of Perpetuity in the context of the going concern assumption.,受験者は、the going concern assumptionの文脈で「永久年金」の概念をcalculateできる必要がある。,Medium
EX0020,TERM0020,The candidate should be able to estimate the concept of Standard Deviation in the context of the going concern assumption.,受験者は、the going concern assumptionの文脈で「標準偏差」の概念をestimateできる必要がある。,Medium
EX0021,TERM0021,The candidate should be able to analyze the concept of Variance in the context of the effect on ROE.,受験者は、the effect on ROEの文脈で「分散」の概念をanalyzeできる必要がある。,Medium
EX0022,TERM0022,The candidate should be able to estimate the concept of Covariance in the context of the required return.,受験者は、the required returnの文脈で「共分散」の概念をestimateできる必要がある。,Medium
EX0023,TERM0023,The candidate should be able to compare the concept of Correlation Coefficient in the context of the effect on ROE.,受験者は、the effect on ROEの文脈で「相関係数」の概念をcompareできる必要がある。,Medium
EX0024,TERM0024,The candidate should be able to estimate the concept of Normal Distribution in the context of the going concern assumption.,受験者は、the going concern assumptionの文脈で「正規分布」の概念をestimateできる必要がある。,Medium
EX0025,TERM0025,The candidate should be able to describe the concept of Confidence Interval in the context of the going concern assumption.,受験者は、the going concern assumptionの文脈で「信頼区間」の概念をdescribeできる必要がある。,Medium
EX0026,TERM0026,The candidate should be able to calculate the concept of Hypothesis Testing in the context of the required return.,受験者は、the required returnの文脈で「仮説検定」の概念をcalculateできる必要がある。,Medium
EX0027,TERM0027,The candidate should be able to describe the concept of Type I Error in the context of the effect on ROE.,受験者は、the effect on ROEの文脈で「第一種の過誤」の概念をdescribeできる必要がある。,Medium
