term_id,topic_code,en_canonical,en_aliases,abbreviations,jp_headword,jp_reading,jp_definition,key_points,pitfall,formula,notes
TERM0001,ETH,Code of Ethics,CFA Code of Ethics,,倫理規範,りんりきはん,CFA協会が定める投資専門家の行動指針。誠実性・能力・勤勉さ・敬意をもって行動し、顧客利益を自己利益より優先することを求める。,6つの構成要素を暗記。顧客利益＞雇用者利益＞自己利益の優先順位。,Code of EthicsとStandards of Professional Conductの違いを混同しやすい。Codeは理念、Standardsは具体的行動規範。,,
TERM0002,ETH,Standards of Professional Conduct,Professional Standards;SPC,,職業行為基準,しょくぎょうこういきじゅん,CFA協会が定める7つの行動基準。専門職としての行動・資本市場の健全性・顧客への義務・雇用者への義務・投資分析・利益相反・CFA会員としての責任を規定。,7つのStandardとそのサブセクションを理解。違反事例の判断が頻出。,Standards違反の判断で「最も厳格な法律に従う」原則を忘れやすい。,,
TERM0003,ETH,Material Nonpublic Information,MNPI;Inside Information,MNPI,重要な未公開情報,じゅうようなみこうかいじょうほう,証券価格に重大な影響を与える可能性があり、まだ一般に公開されていない情報。この情報に基づく取引はインサイダー取引として禁止される。,MNPIに基づく取引・推奨は禁止。Mosaic Theoryとの区別が重要。,Material（重要）とNonpublic（未公開）の両方を満たす必要がある。公開情報や非重要情報は対象外。,,
TERM0004,ETH,Mosaic Theory,,,モザイク理論,もざいくりろん,公開情報と非重要な未公開情報を組み合わせて投資結論を導く分析手法。MNPIを使用しない限り、この手法による取引は許容される。,公開情報＋非重要未公開情報の組み合わせは合法。MNPIとの境界線を理解。,Mosaic TheoryはMNPIの使用を正当化するものではない。非重要情報のみ使用可能。,,
TERM0005,ETH,Fiduciary Duty,Fiduciary Responsibility,,受託者責任,じゅたくしゃせきにん,顧客の最善の利益のために行動する法的・倫理的義務。忠実義務（Loyalty）と注意義務（Care）を含む。,顧客利益を最優先。Prudent Investor Ruleに従う。利益相反の開示義務。,Fiduciary DutyとSuitability（適合性）の違い。受託者は常に顧客最善利益、適合性は投資の適切さ。,,
TERM0006,ETH,Global Investment Performance Standards,GIPS Standards,GIPS,グローバル投資パフォーマンス基準,ぐろーばるとうしぱふぉーまんすきじゅん,投資運用会社のパフォーマンス報告の公正性と比較可能性を確保するための世界標準。コンポジット構築・計算方法・開示要件を規定。,GIPS準拠は任意だが準拠表明には完全遵守が必要。コンポジット要件を理解。,GIPS準拠は「会社全体」に適用。一部ファンドのみの準拠表明は不可。,,
TERM0007,ETH,Soft Dollar,Soft Commission,,ソフトダラー,そふとだらー,証券取引の執行手数料の一部を、リサーチやサービスの対価として使用する慣行。顧客への開示と顧客利益への使用が求められる。,顧客利益に資するリサーチ等への使用は許容。開示義務あり。,Soft Dollarを個人的利益（オフィス家具等）に使用することは違反。,,
TERM0008,ETH,Fair Dealing,,,公正な取扱い,こうせいなとりあつかい,すべての顧客に対して公平かつ客観的に投資推奨・情報提供を行う義務。同時配信の原則を含む。,投資推奨の同時配信。大口顧客への優先提供は違反。,Fair Dealing（公正）とEqual Treatment（平等）の違い。サービス水準は手数料に応じて異なりうる。,,
TERM0009,ETH,Suitability,Investment Suitability,,適合性,てきごうせい,投資推奨が顧客の投資目的・リスク許容度・財務状況・制約条件に適合していることを確認する義務。,IPS（投資方針書）に基づく判断。ポートフォリオ全体の文脈で評価。,個別銘柄の適合性ではなく、ポートフォリオ全体での適合性を判断する。,,
TERM0010,ETH,Investment Policy Statement,IPS,IPS,投資方針書,とうしほうしんしょ,顧客の投資目的・リスク許容度・時間軸・流動性ニーズ・法的制約等を文書化したもの。投資意思決定の基盤となる。,Return objectives・Risk tolerance・Constraintsの3要素。定期的な見直し。,IPSは「目標」と「制約」の両方を含む。制約条件（TTLLU）を忘れやすい。,,
